Word/Phrase,Effort Score,Hits,Grid Name,Actual Position X,Actual Position Y,XY,Path,Cell Type,count
put,4.55,4,07 DAILY LIFE - shopping core TEEN,533.33,540.0,"(4, 3)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,133
then,4.55,4,07 DAILY LIFE - shopping core TEEN,106.67,848.57,"(6, 1)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,126
a,4.55,4,07 DAILY LIFE - shopping core TEEN,746.67,694.29,"(5, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,157
the,4.55,4,07 DAILY LIFE - shopping core TEEN,746.67,848.57,"(6, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,132
you,4.55,4,07 DAILY LIFE - shopping core TEEN,960.0,77.14,"(1, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,126
come,4.55,4,07 DAILY LIFE - shopping core TEEN,320.0,385.71,"(3, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,126
see,4.55,4,07 DAILY LIFE - shopping core TEEN,320.0,540.0,"(4, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,128
want,4.55,4,07 DAILY LIFE - shopping core TEEN,320.0,231.43,"(2, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,126
to,4.55,4,07 DAILY LIFE - shopping core TEEN,320.0,77.14,"(1, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,126
need,4.55,4,07 DAILY LIFE - shopping core TEEN,960.0,231.43,"(2, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,126
