Word/Phrase,Effort Score,Hits,Grid Name,Actual Position X,Actual Position Y,XY,Path,Cell Type,count
Please can we have the bill,5.55,5,07 DAILY LIFE - eating out phrases TEEN,746.67,694.29,"(5, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - eating out with core - TEEN -> 07 DAILY LIFE - eating out phrases TEEN,WordList,1
shops,5.55,5,12 PLACES - Shops & Restaurants pg2,746.67,77.14,"(1, 4)",01 CORE - Home - TEEN ADULT -> 12 PLACES - Core TEEN -> 12 PLACES - Expanded -> 12 PLACES - Shops & Restaurants pg1 -> 12 PLACES - Shops & Restaurants pg2,Regular,1
I am going on a trip,4.55,4,08 LEISURE ACTIVITIES - trips phrases TEEN,960.0,1002.86,"(7, 5)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - Trips TEEN -> 08 LEISURE ACTIVITIES - trips phrases TEEN,WordList,1
I am staying overnight,4.55,4,08 LEISURE ACTIVITIES - trips phrases TEEN,320.0,1002.86,"(7, 2)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - Trips TEEN -> 08 LEISURE ACTIVITIES - trips phrases TEEN,WordList,1
how many hours a week is it?,5.55,5,07 DAILY LIFE - employment phrases TEEN,746.67,694.29,"(5, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - employment with core - TEEN -> 07 DAILY LIFE - employment phrases TEEN,WordList,1
Microchips!,3.55,3,15 TOPICS - Jokes TEEN,320.0,385.71,"(3, 2)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Jokes TEEN,Regular,1
citizenship,4.55,4,16 EDUCATION - timetable expanded TEEN,533.33,77.14,"(1, 3)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 EDUCATION - Timetable Core TEEN -> 16 EDUCATION - timetable expanded TEEN,Regular,1
I want to withdraw some money,5.55,5,07 DAILY LIFE - banking phrases TEEN,960.0,848.57,"(6, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - banking with core - TEEN -> 07 DAILY LIFE - banking phrases TEEN,WordList,1
My account number is,5.55,5,07 DAILY LIFE - banking phrases TEEN,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - banking with core - TEEN -> 07 DAILY LIFE - banking phrases TEEN,WordList,1
My sort code is,5.55,5,07 DAILY LIFE - banking phrases TEEN,106.67,694.29,"(5, 1)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - banking with core - TEEN -> 07 DAILY LIFE - banking phrases TEEN,WordList,1
